"Feature"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"pfam14870"	"252.2"	"450.944444444444"	"51.6162765026692"	"52.5987693525252"	"18"	"0.0457071532586407"	"0.144117621790846"	"148"	"146"	"311"	"418"	"238"	"307"	"467"	"180"	"378"	"400"	"542"	"470"	"376"	"277"	"350"	"406"	"475"	"134"	"462"	"417"	"958"	"496"	"1022"
"pfam14871"	"21"	"92.8888888888889"	"3.87298334620742"	"18.9679621337949"	"11.5"	"0.0138592491376846"	"0.0608894392938354"	"22"	"9"	"28"	"30"	"16"	"60"	"12"	"58"	"40"	"81"	"140"	"89"	"29"	"20"	"16"	"105"	"52"	"33"	"247"	"39"	"226"	"178"	"247"
"pfam14873"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"pfam14874"	"0.8"	"20.8333333333333"	"0.8"	"3.32769130355637"	"4"	"0.00240954801482152"	"0.0201045918451135"	"0"	"0"	"4"	"0"	"0"	"11"	"18"	"0"	"30"	"22"	"26"	"20"	"42"	"6"	"10"	"28"	"14"	"3"	"10"	"19"	"36"	"25"	"55"
"pfam14878"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam14879"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"
"pfam14880"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam14882"	"1.4"	"2.72222222222222"	"0.678232998312527"	"0.807665705920445"	"38"	"0.611942988485361"	"0.74521387741079"	"3"	"1"	"3"	"0"	"0"	"5"	"0"	"0"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"2"	"0"	"6"	"2"	"0"	"3"	"5"	"13"
"pfam14883"	"10"	"4.16666666666667"	"4.70106370941726"	"1.26090018678948"	"63.5"	"0.173204162660855"	"0.359134959559725"	"5"	"4"	"26"	"0"	"15"	"2"	"2"	"0"	"7"	"2"	"2"	"2"	"3"	"16"	"0"	"4"	"4"	"18"	"10"	"0"	"0"	"0"	"3"
"pfam14885"	"44.6"	"52.8888888888889"	"5.24022900262956"	"12.2228460922178"	"53"	"0.57548885833777"	"0.74521387741079"	"40"	"49"	"27"	"58"	"49"	"18"	"209"	"68"	"98"	"18"	"64"	"9"	"23"	"9"	"37"	"19"	"17"	"18"	"106"	"17"	"102"	"35"	"85"
