Ga0187809_10000014_1,
Ga0187809_10000014_2,
Ga0187809_10000014_3,
Ga0187809_10000014_4,
Ga0187809_10000014_5,
Ga0187809_10000014_6,
Ga0187809_10000014_7,
Ga0187809_10000014_8,
Ga0187809_10000014_9,K17883
Ga0187809_10000014_10,
Ga0187809_10000014_11,K00941
Ga0187809_10000014_12,K03457
Ga0187809_10000014_13,K03149
Ga0187809_10000014_14,K03154
Ga0187809_10000014_15,K03153
Ga0187809_10000014_16,K11939
Ga0187809_10000014_17,K00788
Ga0187809_10000014_18,K13693
Ga0187809_10000014_19,K00796
Ga0187809_10000014_20,
Ga0187809_10000014_21,
Ga0187809_10000014_22,K00457
Ga0187809_10000014_23,
Ga0187809_10000014_24,
Ga0187809_10000014_25,
Ga0187809_10000014_26,
Ga0187809_10000014_27,
Ga0187809_10000014_28,K21401
Ga0187809_10000014_29,K00330
Ga0187809_10000014_30,K00331
Ga0187809_10000014_31,K00332
Ga0187809_10000014_32,K00333
Ga0187809_10000014_33,K00334
Ga0187809_10000014_34,K00335
Ga0187809_10000014_35,K00336
Ga0187809_10000014_36,K00337
Ga0187809_10000014_37,K00338
Ga0187809_10000014_38,K00339
Ga0187809_10000014_39,K00340
Ga0187809_10000014_40,K00341
Ga0187809_10000014_41,K00342
Ga0187809_10000014_42,K00343
Ga0187809_10000014_43,
Ga0187809_10000014_44,K03921
Ga0187809_10000014_45,
Ga0187809_10000014_46,K05786
Ga0187809_10000014_47,K00175
Ga0187809_10000014_48,K00174
Ga0187809_10000014_49,
Ga0187809_10000014_50,
Ga0187809_10000014_51,K01673
Ga0187809_10000014_52,K00973
Ga0187809_10000014_53,K09767
Ga0187809_10000014_54,K02913
Ga0187809_10000014_55,
Ga0187809_10000014_56,
Ga0187809_10000014_57,K06975
Ga0187809_10000014_58,K00812
Ga0187809_10000014_59,K03073
Ga0187809_10000014_60,K02601
Ga0187809_10000014_61,K02867
Ga0187809_10000014_62,K02863
Ga0187809_10000014_63,K13993
Ga0187809_10000014_64,
Ga0187809_10000014_65,K05342
Ga0187809_10000014_66,
Ga0187809_10000014_67,
Ga0187809_10000014_68,
Ga0187809_10000014_69,
Ga0187809_10000014_70,K02864
Ga0187809_10000014_71,K02935
Ga0187809_10000014_72,
Ga0187809_10000014_73,K02065
Ga0187809_10000014_74,K02066
Ga0187809_10000014_75,K02066
Ga0187809_10000014_76,K02067
Ga0187809_10000014_77,K02067
Ga0187809_10000014_78,K02067
Ga0187809_10000014_79,K02067
Ga0187809_10000014_80,K02067
Ga0187809_10000014_81,K02067
Ga0187809_10000014_82,
Ga0187809_10000014_83,
Ga0187809_10000014_84,K03043
Ga0187809_10000014_85,K03046
Ga0187809_10000014_86,
Ga0187809_10000014_87,K03704
Ga0187809_10000014_88,K02950
Ga0187809_10000014_89,K02992
Ga0187809_10000014_90,K02355
Ga0187809_10000014_91,K02358
Ga0187809_10000014_92,K02946
Ga0187809_10000014_93,K02906
Ga0187809_10000014_94,K02926
Ga0187809_10000014_95,K02892
Ga0187809_10000014_96,K02886
Ga0187809_10000014_97,K02965
Ga0187809_10000014_98,K02890
Ga0187809_10000014_99,K02982
Ga0187809_10000014_100,K02878
