,sampleID,sampleID_clean,Treatment,Depth,TrtDepth,rich,shannon,MG_MT,AO_NOB,Salinity,CH4_ug_m2_h,N2O_ug_m2_h,CO2_ug_m2_h,Cl_mgL,SO4_mgL,NH4_mgL,NO3_mgL,pH,PO4_mgL,TOC_mgL,TN_mgL,Br_mgL,DIN_mgL,DON_mgL,sed_per_C,sed_per_N,sed_CN,SO4,ASW
TL_inc_d1_DI_ctrl_3,TL_inc_d1_DI_ctrl_3,Control_3_D1,Control,0-5 cm,Control0-5 cm,4520,6.315878983,0.080701754,17.26701571,0.005767021,770.897167,563.7642806,297282.877,5.76702054,0.2286145,3.40782679,0.00910331,4.14,0.00278555,110.4,5.819,0.08269281,3.4169301,2.4020699,16.10422516,0.649638891,24.78950287,FALSE,FALSE
TL_inc_d1_DI_ctrl_4,TL_inc_d1_DI_ctrl_4,Control_4_D1,Control,0-5 cm,Control0-5 cm,3687,6.047363669,0.05785124,23.875,0.001811707,-1163.750626,1214.36367,574594.2542,1.81170675,2.8725038,1.42648625,1.21201877,3.96,0.00383527,41.7,3.957,0.005,2.63850502,1.31849498,15.34240246,0.594958723,25.78733932,FALSE,FALSE
TL_inc_d1_DI_ctrl_5,TL_inc_d1_DI_ctrl_5,Control_5_D1,Control,0-5 cm,Control0-5 cm,3545,5.870883101,0.14516129,41.99038462,0.002463425,3.497878,1313.523272,412676.774,2.46342477,24.9629087,0.0025,50.7249048,4.075,0.0025,25.36,68.49,0.02611411,50.7274048,17.7625952,13.46857548,0.504930079,26.67413972,FALSE,FALSE
TL_inc_d1_SO4_3,TL_inc_d1_SO4_3,#NAME?,0,0-5 cm,+SO40-5 cm,3788,6.055462904,0.925,16.02158273,0.003045528,11.361234,113.8392453,85586.78449,3.04552828,737.171045,2.33993127,0.28951411,4.25,0.0025,NA,NA,0.005,2.62944539,NA,17.14268875,0.693447232,24.72097076,TRUE,FALSE
TL_inc_d1_SO4_4,TL_inc_d1_SO4_4,#NAME?,0,0-5 cm,+SO40-5 cm,3808,5.976040042,0.062962963,19.15384615,0.001450062,-1296.162966,59.03330849,76761.01026,1.45006154,156.014218,3.36372258,5.00E-04,4.21,0.00609371,NA,NA,0.005,3.36422258,NA,17.52794838,0.71991837,24.3471331,TRUE,FALSE
TL_inc_d1_SO4_5A,TL_inc_d1_SO4_5A,#NAME?,0,0-5 cm,+SO40-5 cm,3732,5.998505921,0.192118227,8.392857143,0.000140041,5.611378,90.08277878,83959.84052,0.07751622,238.110773,4.0941474,5.00E-04,4.23,0.00594683,NA,NA,0.005,4.0946474,NA,15.81960964,0.635537386,24.89170581,TRUE,FALSE
TL_inc_d1_SO4_5B,TL_inc_d1_SO4_5B,#NAME?,0,10-15 cm,+SO40-5 cm,2307,5.291395111,0.23880597,20.45985401,0.000140041,5.611378,90.08277878,83959.84052,0.07751622,238.110773,4.0941474,5.00E-04,4.1,0.00594683,NA,NA,0.005,4.0946474,NA,16.07577515,0.654388964,24.56608535,TRUE,FALSE
TL_inc_d2_ASW_1,TL_inc_d2_ASW_1,#NAME?,#NAME?,10-15 cm,+ASW10-15 cm,2216,5.16941193,15.14159292,36.23255814,3.05555336,45285.15172,23.19548691,74787.53747,3055.55336,135.562653,56.72608,5.00E-04,4.03,0.00603071,28.2,30.93,2.70164923,56.72658,-25.79658,20.30156898,0.698792398,29.05236096,TRUE,TRUE
TL_inc_d2_ASW_3,TL_inc_d2_ASW_3,#NAME?,#NAME?,10-15 cm,+ASW10-15 cm,1738,4.928205232,3.762886598,15.24878049,2.71397261,13983.15164,21.99108495,21283.80392,2713.97261,10.115738,7.977929,5.00E-04,4.2,0.00490213,24.38,6.885,2.97101751,7.978429,-1.093429,7.983735085,0.261178702,30.56809388,TRUE,TRUE
TL_inc_d2_ASW_4,TL_inc_d2_ASW_4,#NAME?,#NAME?,10-15 cm,+ASW10-15 cm,2728,5.26610882,2.891891892,1.30952381,2.4244659,56407.29959,23.88783275,75118.94333,2424.4659,55.86895,26.47428,5.00E-04,4.04,0.00644906,31.36098,21.3,2.49460949,26.47478,-5.17478,16.76896095,0.524258733,31.9860403,TRUE,TRUE
