Sequence_ID	sample_name
ASV_103626	+ASW-SO4_5_D1
ASV_103627	Field_10_D1
ASV_103628	Field_10_D1
ASV_103629	Field_36_D1
ASV_103630	+ASW_3_D1
ASV_103638	Field_10_D1
ASV_103640	Field_19_D1
ASV_103642	Field_10_D2
ASV_103648	Field_19_D1
ASV_103652	Field_36_D1
ASV_103654	+ASW-SO4_3_D1
ASV_103655	Field_19_D1
ASV_103658	Field_10_D1
ASV_103663	+ASW-SO4_1_D1
ASV_103664	Control_3_D2
ASV_103668	+ASW-SO4_2_D1
ASV_103669	Field_10_D1
ASV_103677	Field_36_D1
ASV_10368	Field_10_D1
ASV_103689	Field_46_D1
ASV_10369	Field_43_D1
ASV_10370	Field_10_D1
ASV_103700	Field_46_D1
ASV_103702	Control_5_D1
ASV_10371	Field_43_D2
ASV_103710	Field_10_D1
ASV_103711	Field_46_D1
ASV_103713	Field_19_D1
ASV_103714	+SO4_3_D2
ASV_103717	+ASW_4_D1
ASV_10372	Field_10_D1
ASV_103728	+ASW_4_D1
ASV_103731	Field_36_D1
ASV_103737	Field_46_D1
ASV_103739	Field_36_D2
ASV_103744	Field_43_D1
ASV_103758	+ASW_4_D1
ASV_103763	Field_10_D1
ASV_103765	Field_46_D1
ASV_103767	Control_3_D1
ASV_103770	Field_36_D1
ASV_103771	Field_36_D1
ASV_103772	Field_10_D1
ASV_103773	Field_10_D1
ASV_103776	Field_36_D2
ASV_103787	Field_46_D1
ASV_103792	Field_43_D1
ASV_103805	Field_19_D1
ASV_103811	Field_46_D1
ASV_103813	+ASW-SO4_5_D2
ASV_103816	Field_19_D1
ASV_103824	Control_4_D2
ASV_103829	+ASW-SO4_3_D1
ASV_103837	Field_10_D1
ASV_103842	Field_19_D1
ASV_10385	+ASW_5_D1
ASV_103861	Field_10_D1
ASV_103869	Field_19_D1
ASV_103878	Field_36_D1
ASV_103889	+ASW-SO4_4_D1
ASV_103893	Field_19_D1
ASV_103899	Field_10_D1
ASV_103904	Field_43_D1
ASV_103916	+ASW-SO4_5_D2
ASV_103917	Field_36_D1
ASV_103920	+ASW_3_D1
ASV_103922	Field_10_D1
ASV_103924	+ASW-SO4_5_D2
ASV_103934	Field_36_D1
ASV_103935	Field_10_D2
ASV_103937	Field_19_D2
ASV_103938	+ASW_3_D1
ASV_103941	+ASW-SO4_5_D2
ASV_103953	Field_43_D2
ASV_103965	Field_19_D2
ASV_103974	Control_2_D1
ASV_103980	Control_3_D1
ASV_103991	Field_19_D1
ASV_103995	Field_19_D2
ASV_104004	Control_4_D1
ASV_104005	Field_10_D1
ASV_10401	Field_10_D1
ASV_104016	Field_36_D1
ASV_104027	Field_10_D1
ASV_104036	Field_36_D1
ASV_104038	Field_19_D1
ASV_104040	Field_36_D2
ASV_104048	Field_36_D1
ASV_104051	+ASW_5_D1
ASV_104052	+ASW_5_D1
ASV_104057	+ASW-SO4_4_D1
ASV_104063	Field_19_D1
ASV_104067	+ASW_3_D1
ASV_104068	Field_19_D1
ASV_104077	Field_43_D1
ASV_104084	Field_43_D1
ASV_104090	+ASW-SO4_4_D2
ASV_1041	Field_10_D1
ASV_104102	Field_43_D1
ASV_104103	+ASW_4_D1
ASV_104107	Field_19_D1
ASV_104108	Field_10_D2
ASV_104113	Field_36_D1
ASV_104119	+ASW_3_D1
ASV_104128	+ASW_3_D1
ASV_104131	Field_19_D1
ASV_104136	Field_19_D1
ASV_104141	Field_10_D1
ASV_104151	Field_19_D2
ASV_104156	Field_10_D2
ASV_104161	Field_43_D1
ASV_104163	Field_43_D1
ASV_104166	Field_36_D1
ASV_104168	Field_43_D1
ASV_104169	Field_19_D1
ASV_10417	Field_10_D1
ASV_104170	Field_46_D1
ASV_104174	Field_10_D1
